NOMBRE_CONJUNTO;TIPO_BIEN;PRECIO;LOCALIZACIÓN;FECHA_PUBLICACIÓN;ÁREA m²;NUM_HABITACIONES;NOMBRE_PROYECTO
Casa Tres Dorm. Mas Patio, Cumbaya - Ruta Viva;Departamentos; 229000;Cumbaya, Valle Tumbaco;10/abril/2020;;;
Venta De Departamento Av. De La Republica;Departamentos; 139500;Rumipamba, Centro Norte;10/abril/2020;;;
Venta De Departamento Dúplex De 126m² Granda Centeno, Quito;Departamentos; 179000;Granda Centeno, Rumipamba, Centro Norte;10/abril/2020;;;
Dos Dptos. Por Estrenar. Sector Norte De Quito. Cerca A Bicentenario;Departamentos; 88000;Kennedy, Centro Norte;10/abril/2020;;;
Vendo Dpto. 172 M2 Bellavista;Departamentos; 163700;Bellavista, Iñaquito, Centro Norte;09/abril/2020;;;
En Venta Ultima Casa 125m2 - La Armenia;Casa; 110000;Conocoto, Valle Los Chillos;09/abril/2020;;;
Conjunto Farah;Casa; 112350;Zámbiza, Centro Norte;08/abril/2020;;;
Departamento Dos Hemisferios, 2 Dormitorios, Planta Baja, Con Mejoras, Seguridad, Canchas, A Solo 5 Minutos Del Condado;Departamentos; 50500;Pomasqui, Norte De Quito;08/abril/2020;;;
Me/Sector Quito Tenis Linda Suite En Venta!!!;Departamentos; 112000;Rumipamba, Centro Norte;08/abril/2020;;;
Casa De Venta, Rancho San Francisco, Cumbaya, Nayon;Casa; 210000;Nayon - Tanda, Valle Tumbaco;08/abril/2020;;;
Hermosa Casa Playa Las Palmas;Casa; 330000;Cumbaya, Valle Tumbaco;08/abril/2020;;;
Casa De Venta En Conocoto, Ubicada En Pinar De La Sierra;Casa; 83000;Conocoto, Valle Los Chillos;07/abril/2020;;;
Suite En Venta 70m2 Urbanización El Condado Edificio Nyon;Departamentos; 100266;El Condado, Norte De Quito;07/abril/2020;;;
Suite Con Patio Sector El Condado De Venta, Norte Quito;Departamentos; 54000;El Condado, Norte De Quito;07/abril/2020;;;
Suite De Venta Sector Carolina;Departamentos; 99968;Iñaquito, Centro Norte;07/abril/2020;;;
Vendo Casa Armenia Por Estrenar;Casa; 110000;Conocoto, Valle Los Chillos;07/abril/2020;;;
Casa De Venta En Vilcabamba Cerca Al Hospital De Calderon;Casa; 79900;Calderón, Norte De Quito;07/abril/2020;;;
Loft En Venta En El Sector De La Coruña Por Estrenar;Departamentos; 113360;Iñaquito, Centro Norte;07/abril/2020;;;
Departamento De Venta O Alquiler;Departamentos; 60000;Conocoto, Valle Los Chillos;07/abril/2020;;;
Casa De Venta Tonsupa A 100 Metros Del Malecon;Casa; 165000;Granda Centeno, Rumipamba, Centro Norte;07/abril/2020;;;
Casa De Venta En Calderon, Carapungo, Vía Marianitas, Llano Grande, Chico , Ism Calderón;Casa; 68000;Calderón, Norte De Quito;06/abril/2020;;;
Vendo Casa 120 Mtrs, 3 Dormitorios, Sector Amagasí Del Inca;Casa; 115000;San Isidro Del Inca, Centro Norte;06/abril/2020;;;
Venta De Casas De Oportunidad En El Valle De Tumbaco Sector Tola Grande Cerca De La Ruta Viva E Interoceánica;Casa; 130000;Tumbaco, Valle Tumbaco;06/abril/2020;;;
Hermosa Casa Con Piscina Urbanización 23 De Junio;Casa; 320000;El Condado, Norte De Quito;04/abril/2020;;;
Vendo Departamento Sector La Católica;Departamentos; 125000;Mariscal Sucre, Centro Norte;04/abril/2020;;;
Cumbaya - Vendo Casa;Casa; 355000;Cumbaya, Valle Tumbaco;04/abril/2020;;;
Vendo Departamento De 2 Dormitorios Sector Collaloma;Departamentos; 55000;Comité Del Pueblo, Centro Norte;04/abril/2020;;;
Separe Con Solo 500 Su Casa, Departamento O Local Comercial!!;Casa; 89000;Calderón, Norte De Quito;04/abril/2020;;;
Venta,Departamentos 3d, Conjunto Mont Blanc, Crédito Vip, En Sta.Mónica De Conocoto;Departamentos; 265000;Conocoto, Valle Los Chillos;03/abril/2020;;;
Suite De Venta Frente Al Megamaxi - Sector La Carolina;Departamentos; 93000;Iñaquito, Centro Norte;02/abril/2020;;;
Departamento 3 Dormitorios De Venta Sector El Bosque - Union Nacional. Centro Norte De Quito;Departamentos; 183660;Rumipamba, Centro Norte;02/abril/2020;;;
Vendo Hermosa Suite Amoblada (Quito Tennis);Departamentos; 125000;Rumipamba, Centro Norte;01/abril/2020;;;
Departamento En Venta A Estrenar 3 Dormitorios - Centro Norte - El Batán - Quito;Departamentos; 219239;Iñaquito, Centro Norte;01/abril/2020;;;
